"","fam","spe","vd","vwt","dwt","ite.type","simp.scal","WDratio","DWDratio"
"1","Ericaceae","Empetrum eamesii_subsp_eamesii",22,0.7,2.1,"tracheids","scalariform",0.03,0.1
"2","Ericaceae","Empetrum nigrum_subsp_hermaphroditum",21,0.7,2.3,"tracheids","scalariform",0.03,0.11
"3","Ericaceae","Empetrum nigrum_subsp_hermaphroditum",24,0.7,2.3,"tracheids","scalariform",0.03,0.1
"4","Ericaceae","Empetrum rubrum",20,0.7,2.3,"tracheids","scalariform",0.03,0.11
"5","Scrophulariaceae","Buddleja stachyoides",26,0.8,2.8,"libriform","simple",0.03,0.11
"6","Ericaceae","Empetrum nigrum",19,0.7,2.8,"tracheids","scalariform",0.04,0.15
"7","Caryophyllaceae","Schiedea lydgatei",26,1,3,"fiber tracheids","simple",0.04,0.12
"8","Ericaceae","Empetrum rubrum",15,0.7,2.8,"tracheids","scalariform",0.05,0.19
"9","Ericaceae","Ceratiola ericoides",22,1,3.3,"tracheids","simple",0.05,0.15
"10","Ranunculaceae","Xanthorhiza simplicissima",20,1,4,"libriform","simple",0.05,0.2
"11","Myricaceae","Morella quercifolia",24,1.2,3.8,"tracheids","scalariform",0.05,0.16
"12","Lamiaceae","Dorystaechas hastata",26,1.2,3.8,"libriform","simple",0.05,0.15
"13","Lamiaceae","Salvia dorri",19,1.1,4.1,"libriform","simple",0.06,0.22
"14","Ranunculaceae","Hydrastis canadensis",13,1,2,"libriform","simple",0.08,0.15
"15","Compositae","Argyroxiphium kauense",15,1.2,4.1,"libriform","simple",0.08,0.27
