"","fam","spe","vd","vwt","dwt","ite.type","simp.scal","WDratio","DWDratio"
"1","Salvadoraceae","Salvadora persica",9,5,9.2,"libriform","simple",0.56,1.02
"2","Plumbaginaceae","Limonium cretaceum",13,3,10.1,"libriform","simple",0.23,0.78
"3","Salvadoraceae","Salvadora persica",12,5,9.2,"libriform","simple",0.42,0.77
"4","Scrophulariaceae","Emorya suaveolens",15,4.6,9.4,"libriform","simple",0.31,0.63
"5","Polemoniaceae","Phlox diffusa",21,5.8,12.7,"tracheids","simple",0.28,0.6
"6","Polemoniaceae","Phlox diffusa",19,5.3,11.1,"tracheids","simple",0.28,0.58
"7","Lamiaceae","Rosmarinus officinalis",17,4,9.2,"libriform","simple",0.24,0.54
"8","Stilbaceae","Euthystachys abbreviata",22.2,2.3,11.5,"libriform","simple",0.1,0.52
"9","Convolvulaceae","Wilsonia humilis",20,4.4,9.5,"tracheids","simple",0.22,0.48
"10","Salvadoraceae","Azima tetracantha",25,5,11,"libriform","simple",0.2,0.44
"11","Polemoniaceae","Linanthus pungens",23,3.5,9.9,"tracheids","simple",0.15,0.43
"12","Aristolochiaceae","Aristolochia orbicularis",26,4,9.1,"tracheids","simple",0.15,0.35
"13","Montiniaceae","Montinia caryophyllacea",26,4.1,8.9,"libriform","simple",0.16,0.34
"14","Plumbaginaceae","Limonium arborescens",25,3.2,8,"libriform","simple",0.13,0.32
"15","Passifloraceae","Malesherbia linearifolia",27,4.5,8,"libriform","simple",0.17,0.3
