order,family,genus,species,authority,collector,collection #,Organ,Stem Diameter cm,Height m,VDRAW-Vessel diameter micrometers,VDFinal-Vessel diameter interpreted,VG-vessels/group RAW,VG curated,VMM-Vessel density mmper2 RAW,VMM-FINAL,raw VEL-Vessel element Length micrometers,final VEL-Vessel element Length micrometers,VWTRAW-Vessel wall thickness draw micrometers,VWTFINAL-Vessel wall thickness draw micrometers,RAW.BAR#-perforation plate bar ,FINAL.BAR#-perforation plate bar ,Number perforations per plate,RAW.simple.scalariform,FINAL.simple.scalariform,FINAL.scalariform.not,vessels present/absent,raw V-V-vessel-vessel (intervascular) pit diam micrometers,final V-V-vessel-vessel (intervascular) pit diam micrometers,"ITEDRAW: ITE diameter micrometers-""ground"" Imperforate Tracheary Element diam","ITEDFINAL: ITE diameter micrometers-""ground"" Imperforate Tracheary Element diam",ITELRAW: ITE cell length-RAW micrometers,"ITELFINAL: ITE cell length-curated, micrometers",ITEWTRAW: ITE wall thick-DRAW micrometers,ITEWTFINAL: wall thick final micrometers,ITE type RAW,ITE.Final,# septum/fiber,AP/strand-Axial Parenchyma cells/strand,MRH-Multiseriate Ray Height.mm,MRW-multseriate Ray width cell#,URH-Uniseriate Ray Ht.mm,self/ non,DWT- Double wall thickness (um),quien,cite,id1,id2,,,,,,vwt/vd,dwt/vd
Caryophyllales,Achatocarpaceae,Achatocarpus,praecox,Griseb.,"Tucumán, Arg.",s.n.,stem,1.6,,30,30,1.78,1.78,88,,292,292,4,4,0,0,1,simple,simple,simple,present,1.5,1.5,,,677,677,2.5,2.5,libriform,libriform,,4,0.365,2.63,0.119,self,6.5,Emilio,"Carlquist, S. (2000). Wood and bark anatomy of Achatocarpaceae. SIDA, Contributions to Botany, 71-78.","Achatocarpus_praecox_Tucumán, Arg._s.n._stem","Caryophyllales_Achatocarpaceae_Achatocarpus_praecox_Griseb._TucumÃ¡n, Arg._s.n._stem",,,,,,0.13,0.22
Caryophyllales,Achatocarpaceae,Phaulothamnus,spinescens,A. Gray,Jones,22596,stem,0.5,,21,21,2.78,2.78,347,,354,354,2.1,2.1,0,0,1,simple,simple,simple,present,1.8,1.8,,,549,549,1.1,1.1,libriform,libriform,,2,0.302,2,0.229,self,3.2,Emilio,"Carlquist, S. (2000). Wood and bark anatomy of Achatocarpaceae. SIDA, Contributions to Botany, 71-78.",Phaulothamnus_spinescens_Jones_22596_stem,Caryophyllales_Achatocarpaceae_Phaulothamnus_spinescens_A. Gray_Jones_22596_stem,,,,,,0.10,0.15
Brassicales,Salvadoraceae,Dobera,glabra,(Forssk.) Juss. ex Poir.,SJRw,26260,stem,,,15,15,2,2,179,,134,134,,,0,0,1,simple,simple,simple,present,2,2,,,665,665,4,4,libriform,libriform,,1--2,1.83,3.8,74,self,,Beto,"Carlquist, S. (2002). Wood and bark anatomy of Salvadoraceae: ecology, relationships, histology of interxylary phloem. Journal of the Torrey Botanical Society, 10-20.",Dobera_glabra_SJRw_26260_stem,Brassicales_Salvadoraceae_Dobera_glabra_(Forssk.) Juss. ex Poir._SJRw_26260_stem,,,,,,0.00,0.00
Lamiales,Lamiaceae,Teucrium,heterophyllum,L’Hér.,Carlquist,n.s.,stem,,,18,18,2.96,2.96,231,,110,110,2,2,0,0,1,simple,simple,simple,present,2,2,16,16,302,302,2.8,2.8,libriform,libriform,,no parenchyma,0.308,3.6,0.113,self,4.8,Emilio,"Carlquist, S. (1992). Wood anatomy of Lamiaceae. A survey, with comments on vascular and vasicentric tracheids. Aliso: A Journal of Systematic and Evolutionary Botany, 13(2), 309-338.",Teucrium_heterophyllum_Carlquist_s.n._stem,Lamiales_Lamiaceae_Teucrium_heterophyllum_Lâ€™HÃ©r._Carlquist_s.n._stem,,,,,,0.11,0.27
Lamiales,Lamiaceae,Tinnea,rhodesiana,S. Moore,LASCA,80-5-674,stem,,,27,27,4.1,4.1,328,,243,243,2.3,2.3,0,0,1,simple,simple,simple,present,2,2,23,23,509,509,5,5,libriform,libriform,,3,0.476,2.5,0.186,self,7.3,Emilio,"Carlquist, S. (1992). Wood anatomy of Lamiaceae. A survey, with comments on vascular and vasicentric tracheids. Aliso: A Journal of Systematic and Evolutionary Botany, 13(2), 309-338.",Tinnea_rhodesiana_LASCA_80-5-674_stem,Lamiales_Lamiaceae_Tinnea_rhodesiana_S. Moore_LASCA_80-5-674_stem,,,,,,0.09,0.27
Caryophyllales,Portulacaceae,Portulacaria,afra,Jacq.,cult.,Claremont,stem,,,43,43,1.5,1.5,22,,156,156,3,3,0,0,1,simple,simple,simple,present,2,2,,,386,386,2.6,2.6,libriform,libriform,,2,0.696,,,self,5.6,Beto,"Carlquist, S. (1998). Wood anatomy of Portulacaceae and Hectorellaceae: ecological, habital, and systematic implications. Aliso: A Journal of Systematic and Evolutionary Botany, 16(2), 137-153.",Portulacaria_afra_cult._Claremont_stem,Caryophyllales_Portulacaceae_Portulacaria_afra_Jacq._cult._Claremont_stem,,,,,,0.07,0.13
Caryophyllales,Portulacaceae,Portulacaria,armiana,van Jaarsv.,cult.,Huntington,stem,,,33,33,2.2,2.2,85,,137,137,2.5,2.5,0,0,1,simple,simple,simple,present,2,2,,,373,373,2.5,2.5,libriform,libriform,,2,1.762,,,self,5,Beto,"Carlquist, S. (1998). Wood anatomy of Portulacaceae and Hectorellaceae: ecological, habital, and systematic implications. Aliso: A Journal of Systematic and Evolutionary Botany, 16(2), 137-153.",Portulacaria_armiana_cult._Huntington_stem,Caryophyllales_Portulacaceae_Portulacaria_armiana_van Jaarsv._cult._Huntington_stem,,,,,,0.08,0.15
Brassicales,Setchellanthaceae,Setchellanthus,caeruleus,Brandegee,Iltis & al,31801,narrow stem,0.1,,28,28,1.03,1.03,102,,198,198,1,1,0,0,1,simple,simple,simple,present,2,2,14,14,292,292,2.3,2.3,tracheids,tracheids,,0,absent,absent,,self,3.3,Emilio,"Carlquist, S., & Miller, R. B. (1999). Vegetative anatomy and relationships of Setchellanthus caeruleus (Setchellanthaceae). Taxon, 48(2), 289-302.",Setchellanthus_caeruleus_Iltis & al_31801_narrow stem,Brassicales_Setchellanthaceae_Setchellanthus_caeruleus_Brandegee_Iltis & al_31801_narrow stem,,,,,,0.04,0.12
Brassicales,Setchellanthaceae,Setchellanthus,caeruleus,Brandegee,Iltis & al,31801,wider stem,0.8,,39,39,1.08,1.08,35,,156,156,1,1,0,0,1,simple,simple,simple,present,2,2,14,14,271,271,2.3,2.3,tracheids,tracheids,,0,absent,absent,,self,3.3,Emilio,"Carlquist, S., & Miller, R. B. (1999). Vegetative anatomy and relationships of Setchellanthus caeruleus (Setchellanthaceae). Taxon, 48(2), 289-302.",Setchellanthus_caeruleus_Iltis & al_31801_wider stem,Brassicales_Setchellanthaceae_Setchellanthus_caeruleus_Brandegee_Iltis & al_31801_wider stem,,,,,,0.03,0.08
Brassicales,Setchellanthaceae,Setchellanthus,caeruleus,Brandegee,Madw,25551,stem,1.4,,39,39,1.12,1.12,113,,148,148,1,1,0,0,1,simple,simple,simple,present,2,2,14,14,230,230,2.3,2.3,tracheids,tracheids,,0,absent,absent,,self,3.3,Emilio,"Carlquist, S., & Miller, R. B. (1999). Vegetative anatomy and relationships of Setchellanthus caeruleus (Setchellanthaceae). Taxon, 48(2), 289-302.",Setchellanthus_caeruleus_Madw_25551_stem,Brassicales_Setchellanthaceae_Setchellanthus_caeruleus_Brandegee_Madw_25551_stem,,,,,,0.03,0.08
